geo_level,est,county_fips,group_number,stpl_fips,date_export,metric_number,stcotr_fips,group_name,state_fips,denom,num,state_abbr,county_name,city_name,data_yr_type,lci,tract_code,uci,metric_name
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037010901,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010901,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037010903,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010903,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037010903,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010903,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037010904,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010904,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037010904,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010904,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037011001,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011001,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037011001,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011001,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037011002,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011002,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037011002,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011002,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037011100,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011100,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037011100,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011100,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037011200,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011200,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037011200,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011200,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037011300,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011300,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037011300,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011300,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037011400,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011400,-999.0,Air pollution - particulate matter
tract,9.0,037,1,4752006,2022-03-02T00:00:00Z,2,47037011400,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011400,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037011500,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011500,-999.0,Air pollution - particulate matter
tract,9.0,037,1,4752006,2022-03-02T00:00:00Z,2,47037011500,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011500,-999.0,Air pollution - particulate matter
tract,8.6,037,1,4752006,2022-03-02T00:00:00Z,2,47037011600,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011600,-999.0,Air pollution - particulate matter
tract,9.0,037,1,4752006,2022-03-02T00:00:00Z,2,47037011600,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011600,-999.0,Air pollution - particulate matter
